Cycle,T10_R0,T10_R1,T10_R3,T25_R0,T25_R1,T25_R3,T40_R0,T40_R1,T40_R3
751,0.183656669,0.806652981,1.274175187,2.382857817,2.662174675,2.825045834,,,
752,0.176691362,0.801556673,1.267072736,2.374162657,2.663782318,2.821763175,,,
753,0.172030618,0.781913947,1.262854087,2.361716993,2.662643927,2.820267324,,,
754,0.167646936,0.770109298,1.247873192,2.360328419,2.647245612,2.808697505,,,
755,,0.75271164,1.240902571,2.35643149,2.646491888,2.807746511,,,
756,,0.746519486,1.221834252,2.351012268,2.64209423,2.806272943,,,
757,,0.726329589,1.214739057,2.340229663,2.63800426,2.800085716,,,
758,,0.716262826,1.207756698,2.337003783,2.637208788,2.792674694,,,
759,,0.69476658,1.184534963,2.331676576,2.628940856,2.787368912,,,
760,,0.679344738,1.184416233,2.325355872,2.630066798,2.788960898,,,
761,,0.680557326,1.169364583,2.321332662,2.631674441,2.777500317,,,
762,,0.659761339,1.17095545,2.316415528,2.622321339,2.779092303,,,
763,,0.650775204,1.157451386,2.316295813,2.619213915,2.77485938,,,
764,,0.638975931,1.133653579,2.303051145,2.611416831,2.771565156,,,
765,,0.626240182,1.127492158,2.297015157,2.602312895,2.768631406,,,
766,,0.611297713,1.11911473,2.293994471,2.597863528,2.762461036,,,
767,,0.599558144,1.09487598,2.290381034,2.592960383,2.75561735,,,
768,,0.580284251,1.089325234,2.286596134,2.5945229,2.756734966,,,
769,,0.56566616,1.074085463,2.282686069,2.584612121,2.753228901,,,
770,,0.556373032,1.059594427,2.272170443,2.574358834,2.742107892,,,
771,,0.538017629,1.055340816,2.267972529,2.566545876,2.73962198,,,
772,,0.532436023,1.038850343,2.259724439,2.568153519,2.735873579,,,
773,,0.515778703,1.018797252,2.253222176,2.568332571,2.729565973,,,
774,,0.499929066,1.01308346,2.245533861,2.55492289,2.722014946,,,
775,,0.480347776,1.002259143,2.239637509,2.545512094,2.712726412,,,
776,,0.472181698,0.998878197,2.236369788,2.543660728,2.709900634,,,
777,,0.46508816,0.984739717,2.224430038,2.539747316,2.705408168,,,
778,,0.450793116,0.972560513,2.217492099,2.522539917,2.70519828,,,
779,,0.43048721,0.964464978,2.208192174,2.52414756,2.695837414,,,
780,,0.412830172,0.948218709,2.207153573,2.51675549,2.6974294,,,
781,,0.410158611,0.949809575,2.207205889,2.518363133,2.691885933,,,
